Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2021,5,May,"4,772",0,14
B02898,SANO CAR LLC,,2018,4,April,"5,413",0,28
B02787,SEMPERIDE LLC,,2020,4,April,1,0,1
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2020,10,October,551,0,10
B02967,ABIEL TRANSPORTATION CORP,,2017,5,May,478,0,11
B01469,"BROTHERS CAR SERVICE, INC.",,2020,10,October,"5,818",0,47
B01389,METRO LUXURY INC,,2016,1,January,"2,600",0,58
B01341,A NEW DAY RAD DISP INC,,2021,3,March,142,0,3
B03246,FASTRIDE LIMO INC.,,2020,9,September,552,0,7
B03239,CIBAO 2 INC.,,2020,5,May,584,0,6
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2021,7,July,"12,305",0,52
B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,2017,1,January,291,0,1
B01081,GEORGE TOWN MANAGEMENT INC,,2020,3,March,679,0,6
B02892,SEAMAN EXPRESS CORP.,,2017,5,May,94,0,10
B01742,"AVALON TRANSPORTATION, LLC",,2020,2,February,171,0,10
B02026,A RIDE FOR ALL LLC,,2021,1,January,8,0,1
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2016,7,July,"1,359",0,54
B01663,CIBAO RADIO DISPATCH,,2015,3,March,"27,993",0,152
B01623,JAMAICA EXPRESS CAR SERVICE INC.,SUNSHINE CAR SERVICE,2018,9,September,"2,033",0,7
B02037,KINGSDALE DISPATCH INC,,2018,9,September,747,0,7
B02942,FANNY RADIO DISPATCHER SERVICE INC.,,2017,5,May,810,0,6
B02249,"LA RAZA CAR SERVICE, INC.",,2018,10,October,"4,975",0,32
B02106,"PERFECT LIMO SERVICE, INC.",,2019,6,June,6,0,5
B03359,VJVM CAR SERVICE INC,,2021,10,October,514,0,5
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2019,6,June,"4,872",0,154
B01312,BROOKLYN RAD DISP INC,,2018,3,March,"15,543",0,206
B02308,NORWOOD CAR & LIMO INC.,,2017,6,June,"1,130",0,24
B00160,JAFFA CAR & LIMO SVC INC,,2020,11,November,"1,403",0,14
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,2021,8,August,113,0,1
B00095,LIBERTY CAR SERVICE INC.,,2018,7,July,"3,911",0,21
B02715,GROUNDANYWHERE LLC,,2019,12,December,"17,159",0,686
B00448,DIAL CAR INC.,,2018,9,September,"5,722",0,155
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2020,11,November,94,0,4
B03041,PUEBLA CITY INC.,,2019,6,June,"4,533",0,18
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2020,11,November,425,0,17
B02782,NEW APP CAR & LIMO INC,,2019,6,June,"2,107",0,19
B01800,EMPIRE INTERNATIONAL LTD.,,2016,12,December,"10,372",0,302
B02460,CABOT LIMO NY CORP.,,2019,2,February,436,0,9
B02751,RELIANCE GROUP INC,,2019,12,December,99,0,10
B01268,LAKEVIEW CARS INC.,CLOVE LAKE CARS,2019,4,April,"27,876",0,109
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2016,3,March,"1,612",0,59
B00202,"EXCELSIOR CAR & LIMO, INC.",,2018,9,September,228,0,8
B02925,SIGNATURE BLACK CAR LLC,,2020,8,August,148,0,6
B02517,LOS PAISANOS LUXURY C/S INC.,,2015,12,December,465,0,10
B02308,NORWOOD CAR & LIMO INC.,,2019,8,August,775,0,12
B02491,CALL THREES LLC,,2017,2,February,"1,265",0,6
B00381,BELL RADIO INC,,2019,6,June,"4,033",0,93
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2021,7,July,243,0,95
B00889,MEXICANA CAR SERVICE INC.,,2019,6,June,"7,390",0,27
B01625,GLOBE CAR SERVICE INC,,2019,1,January,"1,243",0,5
B02061,ROYAL COACHMAN LTD.,,2018,4,April,84,0,14
B03021,ALBAJOSH TRANSPORT CORP,,2017,4,April,944,0,10
B00948,510 CAR SERVICE CORP,,2020,4,April,664,0,7
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,NYS CAR SERVICE,2017,6,June,"2,185",0,16
B01326,DEBORAH C/L SVC INC,,2018,10,October,"2,388",0,53
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2018,11,November,"27,982",304,178
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2020,1,January,19,0,3
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2017,5,May,"3,321",0,9
B02881,DIANE CAR AND LIMO SERVICE LLC,,2020,3,March,"2,981",0,25
B00346,MERRICK C/S INC,,2021,2,February,299,0,2
B01343,ALL PEOPLE CAR SERVICE INC.,,2021,4,April,174,0,2
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2020,9,September,"10,204",0,30
B01300,KENNEDY RAD DISP INC,,2015,1,January,"24,081",0,167
B01259,THE NEW BROOKLYN C/S INC,,2020,1,January,"4,283",0,18
B02653,NEW COLLEGE CAR SVCE INC,,2018,12,December,"10,559",0,51
B02834,811 TRANSIT CORP,,2018,9,September,"3,076",0,20
B00625,"CENTRAL CAR SERVICES,INC.",,2020,9,September,"1,394",0,17
B02924,CELEBRITY LUXURY INC.,,2020,4,April,62,0,9
B01466,FIVE STAR,,2019,8,August,"1,395",0,11
B02460,CABOT LIMO NY CORP.,,2017,11,November,861,0,15
