Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2018,12,December,298,0,4
B01957,"ANIMO, INC",CHRIS LIMOUSINE U.S.A.,2019,10,October,43,0,1
B01190,NEW BELL CAR SERVICE CORP,,2016,12,December,"14,521",0,72
B00882,U N C CAR & LIMO SERVICE,,2015,4,April,264,0,8
B00171,CURB TRANSPORTATION SERVICES LLC.,,2016,8,August,"4,000",0,18
B03015,TRI-COUNTY BLACK CARS INC,,2020,6,June,"1,530",0,11
B00746,BAMADU CAR SVCE,,2018,9,September,411,0,4
B03242,U1ST TRANSPORTATION SERVICES LLC,,2020,8,August,146,0,4
B02825,GUADALUPANA II CAR & LIMO INC,,2016,1,January,"2,296",0,8
B02285,"VALERA GLOBAL, INC.",,2018,8,August,"2,802",0,75
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2018,12,December,"1,209",0,11
B02249,"LA RAZA CAR SERVICE, INC.",,2018,8,August,"1,527",0,11
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2019,4,April,"5,481",0,32
B02099,SUNNY'S LIMOUSINE SERVICE INC,SSS LIMO SERVICE,2019,8,August,153,0,5
B01738,SAETA CAR SERVICE INC.,,2015,12,December,"3,848",0,60
B02037,KINGSDALE DISPATCH INC,,2015,10,October,"2,895",0,15
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2020,3,March,29,0,6
B02942,FANNY RADIO DISPATCHER SERVICE INC.,,2018,9,September,906,0,8
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2018,8,August,"60,404",0,592
B01445,J T TRANS CO INC,,2019,1,January,"6,468",0,75
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2020,12,December,9,0,1
B02315,LA MORENITA CAR LIMO SERVICE INC,,2017,6,June,"4,546",0,21
B00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2018,2,February,71,0,1
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2017,3,March,"1,409",0,18
B01009,UNITED LIMO C/M SVC CORP,,2017,6,June,989,0,10
B00290,ZPI CORPORATION,NATIONAL HIGH CLASS,2018,3,March,968,0,9
b00833,OMEGA CAR SERVICE INC.,,2020,2,February,526,0,3
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2020,8,August,28,0,3
B01190,NEW BELL CAR SERVICE CORP,,2020,5,May,"1,655",0,12
B00727,RECHEV OF BROOKLYN INC,,2019,2,February,"1,432",0,5
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2018,10,October,"51,294",0,586
B03349,RIDGEWAY TRANSIT INC,,2021,5,May,484,0,9
B03266,HOYT LIMO & SERVICE CORP.,,2020,6,June,"5,978",0,32
B03041,PUEBLA CITY INC.,,2018,4,April,93,0,10
B02658,ASCONA CAR SERVICE INC.,,2017,9,September,469,0,5
B02346,PIA CAR LIMO. INC.,,2018,12,December,72,0,2
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2019,7,July,511,0,7
B02709,DASH CAR SERVICE CORP,,2019,10,October,"1,167",0,4
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2016,6,June,"5,383",0,92
B03012,MEGA LIMO SERVICES INC.,,2018,8,August,"1,804",0,11
B02838,THA MAYA CAR SERVICE INC,,2016,1,January,504,0,12
B00056,TRANSIT PRIVATE CAR SERVICE INC.,,2020,1,January,913,0,21
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2016,9,September,"8,913",0,67
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2018,4,April,542,0,17
B02794,ASAP LUXE INC,,2021,5,May,"33,204",0,137
B02984,GRAND PRIX TRANSPORTATION LLC,,2018,9,September,36,0,4
B02429,SEAGULL RIDE CORP,,2018,5,May,"3,275",0,9
B03185,G&J LUXURY TRANSPORTATION INC,,2021,4,April,166,0,9
B02470,VAHANA INC.,,2018,3,March,788,0,15
B02629,CARLUX LIMO INC.,,2017,9,September,1,0,1
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2021,4,April,"8,598",0,65
B02947,"ONIX TRANSPORTATION, INC",,2020,1,January,"9,076",0,58
B01726,SUPER CLASS RADIO DISP INC,,2017,8,August,"15,001",0,104
B02963,GULF LUXURY INC,,2018,3,March,251,0,6
b01309,ACME LIMOUSINE LLC,ARROW TRANSPORTATION,2017,4,April,484,0,13
B00802,BELL CAR SVC INC,,2019,10,October,"5,268",0,22
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2019,1,January,"4,373",0,44
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2015,12,December,"7,576",0,69
B01444,REGO PARK EXPRESS INC.,,2019,6,June,"3,925",0,15
B02856,MARIACHI CAR SERVICE INC,,2017,6,June,"2,445",0,10
B01536,FIRST CLASS C/L SVC CORP,,2016,10,October,"30,712",0,206
B03080,AMBAR TRANSPORTATION INC.,,2020,11,November,"3,753",0,42
b00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2016,8,August,"8,134",0,30
B02899,NEW BLACK LUXURY CARS CORP,,2021,4,April,68,0,30
B02944,SCORPIO FIVE STAR CAR & LIMO SERVICE INC,,2017,9,September,"1,030",0,7
B03030,Q-FIRST LIMOUSINE CORP.,,2017,9,September,198,0,16
B01454,FREEDOM LIMO & CAR SERVICE,,2021,9,September,"1,294",0,6
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2016,10,October,"1,330",0,11
B02819,FIVE STAR LUXURY INC.,,2021,8,August,738,0,14
B02335,ROCHDALE CAR SERVICE INC.,,2015,11,November,553,0,15
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2021,1,January,417,0,2
B00481,806 SERVICE LLC,18TH AVENUE PRIVATE CAR SERVICE INC,2016,7,July,"1,899",0,10
B01066,DOMINICANA RAD DISP INC,,2017,3,March,"17,596",0,85
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2019,7,July,"11,478",0,60
B03024,URBAN CAR SERVICES LLC,WALL STREET LIMOUSINE,2017,9,September,190,0,4
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,2017,7,July,"1,760",0,6
B02550,AGAPE LUXURY CORP.,,2020,3,March,"51,282",0,929
B02881,DIANE CAR AND LIMO SERVICE LLC,,2020,5,May,"1,139",0,15
B00225,DELANCEY TRANSPORTATION INC.,,2017,4,April,"13,748",0,69
B01081,GEORGE TOWN MANAGEMENT INC,,2019,5,May,782,0,8
B00334,DO MAX CORP.,HIGH BRIDGE C/S,2015,12,December,"4,429",0,44
B02913,DAT TRANSPORTATION INC.,,2018,7,July,98,0,12
B01821,EMPIRE TRANSPORTATION SERVICE INC.,,2021,3,March,632,0,6
B00625,"CENTRAL CAR SERVICES,INC.",,2021,10,October,"1,908",0,24
B03206,KIDMOTO TECHNOLOGIES LLC,,2019,11,November,138,0,16
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2017,12,December,521,0,19
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2019,5,May,"5,497",0,99
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2019,10,October,454,0,8
B02096,"CET GROUP, INC",,2020,9,September,86,0,26
B01389,METRO LUXURY INC,,2017,3,March,"7,413",0,97
B01145,ULTRA RADIO DISP INC,,2017,12,December,"47,039",0,272
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2016,6,June,"5,592",0,55
B02944,SCORPIO FIVE STAR CAR & LIMO SERVICE INC,,2019,9,September,"1,492",0,9
B02536,SEAGULL RIDE CORP,,2021,1,January,"3,194",0,11
B01273,PUERTO RICO CAR SERVICE INC.,,2017,6,June,"9,321",0,49
B00693,BUSHWICK CAR SVCE INC,,2018,2,February,"4,782",0,31
B00889,MEXICANA CAR SERVICE INC.,,2021,2,February,"2,360",0,15
B02736,TRINITY CAR SERVICE INC,,2020,5,May,296,0,6
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2020,4,April,19,0,2
B02947,"ONIX TRANSPORTATION, INC",,2017,6,June,"2,458",0,23
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2018,4,April,"29,651",0,167
B02099,SUNNY'S LIMOUSINE SERVICE INC,SSS LIMO SERVICE,2017,12,December,828,0,16
B02921,"GRAVITAS PRIMO,LLC",,2017,2,February,2,0,2
B03083,DIVINE LUXURY TRANSPORTATION INC,,2018,11,November,966,0,8
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2020,9,September,"17,009",0,105
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2018,3,March,"5,120",0,16
B00419,KOOP DISPATCHING INC.,,2015,7,July,"1,426",0,13
B00014,NY ONE CORP CAR INC,,2021,8,August,681,0,146
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2017,3,March,"14,023",0,131
B02629,CARLUX LIMO INC.,,2019,10,October,326,0,21
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2015,4,April,"2,883",0,16
B01391,ROSE 'N' DALE C/S INC,,2018,10,October,"1,734",0,10
B00860,SEAMAN RADIO DISPATCHERS INC,,2020,5,May,"4,645",0,42
B02546,X RADIO DISPATCHER INC.,,2020,6,June,"6,849",0,35
B00919,HARLEM CARS INC.,,2015,10,October,"13,995",0,95
b01109,UNITED EXP C/L SVCE,,2016,5,May,"10,686",0,51
B02702,NEW SAFARI CAR & LIMO INC.,,2017,3,March,83,0,1
B03308,B.S.Z. LUXURY BLACK CAR INC.,,2021,7,July,98,0,15
B00459,910 CAR SERVICE INC,,2017,7,July,"7,955",0,44
B00932,NATASHAS GRP CAR CORP,,2020,11,November,993,0,5
B03016,BEST DEAL BLACK INC.,,2019,1,January,"24,586",219,142
B01466,FIVE STAR,,2020,10,October,"1,957",0,12
b01420,A.M.N. MANAGEMENT INC.,ALWAYS READY C/S,2016,2,February,"1,809",0,12
B02525,"HTP, INC.",,2018,1,January,"1,029",0,19
B01273,PUERTO RICO CAR SERVICE INC.,,2018,10,October,"5,591",0,32
B02288,SAFARI TRANSPORTATION INC.,,2017,7,July,200,0,5
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2021,6,June,173,0,10
B02426,TRISTAR SERVICES (US) INC.,TRISTAR WORLDWIDE CHAUFFEURED SERVICES,2019,6,June,"1,326",0,30
B02219,ALL QUEENS CAR & LIMOUSINE INC.,CAR ON TIME,2016,5,May,171,0,10
B02167,MADISON LIMOUSINE INC,,2016,8,August,20,0,4
B02988,"BED STAR DRIVERS ASSOCIATES, INC",,2018,3,March,720,0,4
B01215,ECUADOOR CORP,,2016,4,April,"20,634",0,70
B00900,BIG Q CAR SVC. INC.,,2017,2,February,"47,687",0,191
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2021,7,July,530,0,124
B01470,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2017,11,November,"2,008",0,28
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2021,8,August,182,0,84
B02287,ROAD NEW YORK ENTERPRISES INC.,DAI-ICHI LIMOUSINE,2021,10,October,37,0,5
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2017,10,October,323,0,17
B03144,JUST A MOMENT CAR SERVICE INC,,2020,12,December,163,0,5
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",PROMINENT CAR & LIMO,2017,2,February,180,0,2
B00693,BUSHWICK CAR SVCE INC,,2020,2,February,309,0,2
B00318,APPLE RADIO CARS INC,,2017,4,April,"5,850",0,38
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,NYS CAR SERVICE,2015,6,June,702,0,14
B00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2019,12,December,122,0,3
B02316,"AJAY CAR SERVICE, LLC.",,2016,3,March,"1,158",0,15
B02320,GDS TRANSPORTATION CORP.,UPPER CAR SERVICE,2020,7,July,171,0,4
B01318,LOWER EAST SIDE C/S CORP,,2021,9,September,813,0,10
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2017,8,August,90,0,7
B00991,BLUE LANE CAR SERVICE INC,,2017,8,August,960,0,32
B01721,W.K. CAR & LIMO SERVICE INC,,2016,1,January,"6,368",0,42
B01614,R TRANSPORT INC,,2017,8,August,633,0,10
B02219,ALL QUEENS CAR & LIMOUSINE INC.,CAR ON TIME,2016,7,July,124,0,7
B00900,BIG Q CAR SVC. INC.,,2021,8,August,"16,244",0,69
B02833,ADVANCED LUXURY LIMO SVC. INC.,,2017,4,April,"2,874",0,15
B03056,INSPIRATION GROUP INC,,2018,2,February,"2,624",0,16
B01432,TOVAR TRANSPORTATION INC,,2015,12,December,"7,173",0,27
B00693,BUSHWICK CAR SVCE INC,,2021,3,March,155,0,1
B02557,185 MALTA CAR SERVICE LLC,,2017,6,June,493,0,7
B00419,KOOP DISPATCHING INC.,,2016,12,December,2,0,2
B01336,BAY EXPRESS CORP.,,2018,11,November,"2,591",0,20
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2016,9,September,159,0,21
B00310,WATSON CAR SERVICE INC.,,2018,3,March,"25,964",0,103
B00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2015,4,April,"8,513",0,30
B03002,"REYNO,INC.",,2017,12,December,"5,153",0,31
B00559,7 OCEAN EXPRESS INC.,,2017,5,May,"1,041",0,4
B02397,CHICO EXPRESS CORP. 2,,2018,3,March,"5,720",0,30
B02834,811 TRANSIT CORP,,2016,1,January,326,0,15
B01306,"R N D TRANSPORTATION, INC.",MALONES CAR SVCE,2016,4,April,776,0,13
B00693,BUSHWICK CAR SVCE INC,,2016,7,July,"12,044",0,76
B00789,VITAL TRANSPORTATION INC.,,2016,4,April,"8,627",0,257
B01984,NY 88 EXPRESS CORP.,,2018,11,November,"26,831",0,134
B00346,MERRICK C/S INC,,2016,11,November,"1,491",0,7
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2021,1,January,105,0,5
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2016,8,August,"4,108",0,15
B01263,"RACHEL'S CAR SERVICE,INC.",,2017,2,February,"5,874",0,17
B01808,OLD TOWN CARS CORP,DELTA CARS,2020,2,February,"2,585",0,6
B02769,MAVROS TRANSPORTATION INC,,2017,7,July,370,0,9
B03126,YUR DRIVERS NETWORK INC,,2020,5,May,109,0,5
B02997,KALUMA TRANSPORTATION GROUP INC.,,2021,3,March,26,0,8
B01437,MERENGUE LIMO & C/S INC,,2020,8,August,"14,211",0,78
B02997,KALUMA TRANSPORTATION GROUP INC.,,2021,1,January,15,0,4
B02509,NY MINUTE CAR SERVICE INC.,,2021,2,February,"4,682",0,29
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2017,5,May,"2,532",0,54
B01928,DISCOVER LIMO INC,INFINITY LIMO,2021,8,August,6,0,2
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2021,1,January,430,0,5
B02849,BROOKLYN RIDES CORP,,2016,3,March,"1,058",0,5
B02447,LUIGI MEMO INC.,VIEW,2017,6,June,39,0,22
B01391,ROSE 'N' DALE C/S INC,,2017,9,September,"1,980",0,12
B00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,2021,5,May,"2,184",0,8
B01250,BELLE MANAGEMENT CORP.,GLEN BELLE CAR SERVICE,2016,10,October,420,0,14
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2019,6,June,"2,222",0,57
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2017,5,May,969,0,8
B00429,SURF CAR SYSTEMS INC,,2021,5,May,"2,204",0,35
B03080,AMBAR TRANSPORTATION INC.,,2019,5,May,"4,351",0,59
B02008,"SCARSDALE TRIP SERVICE, INC.",RED OAK TRANSPORTATION,2019,3,March,2,0,1
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2016,3,March,"1,587",0,8
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2018,5,May,"4,979",0,151
B03270,ABI GROUP LUXURY INC.,,2021,8,August,76,0,8
B01020,MICHAELS CAR SERVICE INC.,UNION LIMO AND CAR SERVICE INC,2015,5,May,"1,377",0,20
B00652,RESCUE C/S INC,,2021,3,March,"1,328",0,7
B02912,FIRST CLASS LUXURY INC,,2017,11,November,"1,839",0,10
B02848,V R WORLDWIDE INC,,2017,11,November,11,0,2
B02857,MATHES SERVICE INC.,NUNU ROCHDALE CAR SERVICE,2018,3,March,"1,785",0,8
B03015,TRI-COUNTY BLACK CARS INC,,2021,4,April,"2,579",0,10
B01057,NEW AMERICAN C/L SVC,,2018,9,September,904,0,9
B03282,HOLY TRANSPORTATION CORP.,,2021,10,October,"1,267",0,32
B01413,SFL INC,,2018,10,October,"2,883",0,43
B02832,NYC FLY WHEELS INC.,,2020,4,April,199,0,4
B01190,NEW BELL CAR SERVICE CORP,,2017,5,May,"7,351",0,41
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",,2018,1,January,"2,922",0,68
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2020,5,May,317,0,2
B02536,SEAGULL RIDE CORP,,2020,8,August,"2,888",0,10
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2017,2,February,876,0,14
B03361,D MANNY SAFE RIDE CORP.,,2021,3,March,80,0,1
B01663,CIBAO RADIO DISPATCH,,2018,5,May,"8,399",0,47
B01424,EAGLE CAR & LIMO LTD.,,2016,1,January,646,0,6
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2016,1,January,"1,429",0,8
B00277,ALL CITY CORP TRANS INC,,2016,4,April,"1,768",0,50
B00013,LOVE CORPORATE CAR INC,,2020,9,September,578,0,128
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2018,11,November,129,0,9
B01087,ELITE LIMO PLUS INC,,2015,11,November,"16,015",0,316
B02148,MAVRIK TRANS INC.,,2016,8,August,419,0,36
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2021,3,March,"1,294",0,10
B00860,SEAMAN RADIO DISPATCHERS INC,,2016,6,June,"53,233",0,267
B02731,EMES OF BOROPARK CAR SERVICE INC,,2018,3,March,635,0,4
B00827,"CASTLE CAR SERVICE, INC",,2017,9,September,"1,103",0,7
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2016,8,August,"9,945",0,12
B01389,METRO LUXURY INC,,2021,1,January,"1,069",0,13
B02799,CHURCH AVENUE EXPRESS INC,,2021,10,October,"39,223",0,178
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2015,8,August,"2,522",0,10
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2016,3,March,"10,441",0,33
B01083,BROAD DYCKMAN C/S INC,,2020,9,September,"5,098",0,25
B01877,U.S.A. LIMO. INC.,BLUE LINE,2017,10,October,"6,484",0,162
B01339,R C AUDUBON SVC INC,,2018,2,February,"12,071",0,91
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,2018,4,April,"1,755",0,59
B02838,THA MAYA CAR SERVICE INC,,2021,6,June,"1,518",0,11
B00310,WATSON CAR SERVICE INC.,,2021,9,September,"21,236",0,124
B02917,C & A BLACK CAR CORP.,,2017,1,January,139,0,27
B00254,XYZ TWO WAY RADIO,,2020,4,April,"2,646",0,42
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2021,2,February,"3,782",0,42
B02912,FIRST CLASS LUXURY INC,,2020,9,September,646,0,5
B00919,HARLEM CARS INC.,,2019,8,August,"3,772",0,25
B02817,ANYTIME FORSYTH TRANSPORT CORP,,2018,7,July,"1,226",0,14
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2019,1,January,"1,767",0,32
B03280,ARMONY TRANSPORTATION INC.,,2021,6,June,609,0,11
B00350,CHAMPION CAR & LIMO SVC. INC.,,2018,4,April,"3,902",0,22
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2021,7,July,"2,817",0,7
B01606,LA MEXICANA EXPRESS INC.,,2018,9,September,"27,767",0,162
B00652,RESCUE C/S INC,,2018,5,May,"1,687",0,11
B01200,NEW YORK APPLE CAR SERVICE INC,N Y LIMO & CAR SVCE,2016,10,October,"4,162",0,25
b01029,ZION CAR SERVICE INC.,,2016,4,April,51,0,4
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2020,1,January,96,0,11
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2017,4,April,270,0,14
B03166,TURING ENTERPRISES INC.,,2020,3,March,214,0,5
B03094,"JBE LIMO, INC",,2019,1,January,41,0,4
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,N.Y. MEXICANA CAR SERVICE,2018,1,January,"3,134",0,19
B01742,"AVALON TRANSPORTATION, LLC",,2021,3,March,296,0,12
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2020,8,August,"21,437",0,116
B01445,J T TRANS CO INC,,2019,8,August,"6,526",0,74
B02710,"GOLDEN AGE TRANSIT,LLC",,2015,4,April,263,0,7
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2018,9,September,"20,013",0,70
B00446,COMMUNICAR INCORPORATED,,2018,6,June,"3,859",0,92
B01469,"BROTHERS CAR SERVICE, INC.",,2015,9,September,"12,906",0,103
B00429,SURF CAR SYSTEMS INC,,2021,8,August,"2,066",0,34
B00014,NY ONE CORP CAR INC,,2021,7,July,754,0,160
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2019,7,July,382,0,3
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2021,7,July,"1,647",0,10
B00221,PROFESSIONAL CAR SERVICE INC,,2017,2,February,"9,638",0,90
B01340,UNICAR COMPANY INC,,2017,7,July,"14,328",0,85
B02853,SAFE RIDES CAR & LIMO SERVICES INC,,2020,2,February,15,0,3
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2021,5,May,"1,142",0,4
B02453,MCW CAR & LIMO INC.,,2015,10,October,28,0,14
B02736,TRINITY CAR SERVICE INC,,2017,2,February,"1,161",0,7
B03242,U1ST TRANSPORTATION SERVICES LLC,,2020,12,December,294,0,6
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2019,1,January,"15,228",0,74
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2021,6,June,320,0,7
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2019,3,March,"26,899",0,473
b01091,A & R GOLDEN EXP INC,,2016,3,March,"6,325",0,10
B01233,NEW LACONIA RAD DISP INC,,2019,4,April,"5,414",0,32
B03052,PROGRESIVE LIMOS INC.,,2018,11,November,"1,674",0,15
B02316,"AJAY CAR SERVICE, LLC.",,2016,7,July,811,0,11
B00014,NY ONE CORP CAR INC,,2021,6,June,765,0,165
B01625,GLOBE CAR SERVICE INC,,2021,3,March,326,0,1
B02525,"HTP, INC.",,2017,6,June,"1,219",0,18
B03016,BEST DEAL BLACK INC.,,2018,2,February,15,0,9
B01536,FIRST CLASS C/L SVC CORP,,2018,10,October,"17,845",0,111
B02460,CABOT LIMO NY CORP.,,2019,11,November,577,0,10
B01626,LA NUEVA QUISQUEYA C/S INC,,2021,6,June,"11,294",0,53
B01312,BROOKLYN RAD DISP INC,,2016,8,August,"17,928",0,161
B03072,CONVENIENCE RIDE TRANSPORTATION SERVICES INC.,,2021,7,July,54,0,1
B01593,"NOVAK GLOBAL, INC.",SKYWAY CAR SERVICE,2019,11,November,319,0,3
B01525,NORTHSIDE BK LLC,,2017,9,September,"5,366",0,118
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2016,6,June,"5,857",0,23
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2021,1,January,"1,262",0,14
B01263,"RACHEL'S CAR SERVICE,INC.",,2016,7,July,"3,609",0,15
B02759,"LAPUMA TRANSPORTATION GROUP,LLC",LAPUMA,2015,6,June,7,0,1
B02797,CJ LIMOUSINE LLC,,2020,1,January,413,0,17
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2017,5,May,"7,647",0,129
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,2021,7,July,384,0,2
B02594,FENIX MOBILE DISPATCHERS LTD,,2016,10,October,"1,774",0,7
B02522,CHAUFFEURED EXECUTIVE TRANSPORTATION LLC,,2020,4,April,3,0,1
B00037,TRANSP UNLIMITED C/S,,2017,7,July,"5,097",0,43
B01231,GO CAR CORP.,,2018,3,March,"3,451",0,20
B02832,NYC FLY WHEELS INC.,,2018,1,January,208,0,8
B03110,BETTER CAR & LIMOUSINE SERVICE INC,BELTWAY CAR SERVICE,2019,11,November,435,0,4
B03020,5J TRANSPORTATION INC.,,2020,7,July,803,0,6
B03144,JUST A MOMENT CAR SERVICE INC,,2020,9,September,197,0,6
B00221,PROFESSIONAL CAR SERVICE INC,,2021,8,August,"4,743",0,34
B02931,NEW TECHNOLOGY TRANSPORTATION INC.,,2016,7,July,"4,602",0,123
B01231,GO CAR CORP.,,2016,11,November,"8,915",0,42
B01282,NEW LOTS C/S INC,,2015,11,November,"24,352",0,78
B02391,"BAYRIDGE EXPRESS, INC",,2019,11,November,143,0,1
B02026,A RIDE FOR ALL LLC,,2016,4,April,79,0,2
B02416,"NEW STORM CAR SERVICE, INC.",,2017,8,August,"6,540",0,12
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2017,4,April,"1,064",0,6
B02292,NEW YORK APPLE V.I.P. CORP,,2019,4,April,"4,065",0,32
B01083,BROAD DYCKMAN C/S INC,,2018,9,September,"8,941",0,55
B00310,WATSON CAR SERVICE INC.,,2017,6,June,"37,643",0,188
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2020,8,August,95,0,3
B01525,NORTHSIDE BK LLC,,2016,9,September,"7,598",0,114
B02653,NEW COLLEGE CAR SVCE INC,,2020,10,October,"6,474",0,33
B00255,CAUTIOUS CARS CORP,,2020,7,July,81,0,8
B01259,THE NEW BROOKLYN C/S INC,,2021,6,June,"2,725",0,12
B01338,3210 WEBSTER AV PRESTIGE C/S,,2021,10,October,"14,275",0,92
B00837,CAREY LIMO N Y INC,,2017,1,January,"9,894",0,215
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2018,1,January,"3,378",0,17
B01949,FIRST CLASS OF NEW YORK INC.,NEW YORK FIRST CLASS,2019,1,January,"1,044",0,35
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2021,10,October,"2,568",0,8
B00789,VITAL TRANSPORTATION INC.,,2018,11,November,"8,956",0,182
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2019,6,June,"1,684",0,8
B03017,SDR TRANSPORTATION CORP.,,2017,6,June,271,0,12
B01282,NEW LOTS C/S INC,,2018,12,December,"10,522",0,55
B01424,EAGLE CAR & LIMO LTD.,,2017,9,September,203,0,2
B00975,"T.J.Q. CAR SERVICE, INC.",QUALITY CAR SVCE,2017,11,November,"1,644",0,14
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2020,4,April,30,0,7
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2015,10,October,842,0,7
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,N.Y. MEXICANA CAR SERVICE,2021,3,March,379,0,5
